YEAR,MO,DY,CLRSKY_SFC_SW_DWN,T2M,ALLSKY_SFC_SW_DWN,RH2M,WS2M,ALLSKY_SFC_LW_DWN,PRECTOTCORR
2020,3,30,7.38,27.46,5.65,81.08,1.63,9.93,0.87
2020,3,31,7.66,27.84,7.51,75.37,1.36,9.27,0.06
2020,4,1,7.74,27.32,7.2,77.32,1.51,9.21,0.07
2020,4,2,7.59,28.23,6.1,76.29,1.36,9.7,0.13
2020,4,3,7.55,28,5.99,78.08,1.41,9.63,0.61
2020,4,4,7.71,27.58,6.95,74.92,1.67,9.44,0.07
2020,4,5,7.46,27.61,5.34,78.35,1.56,9.73,0.31
2020,4,6,7.62,28.06,7.29,75.29,1.41,9.49,0.02
2020,4,7,7.67,28.3,7.3,73.47,1.25,9.55,0.04
2020,4,8,7.6,28.37,7.45,71.17,1.41,9.47,0.68
2020,4,9,7.43,28.17,5.27,76.99,1.61,9.84,34.46
2020,4,10,7.63,27.83,7.14,75.87,1.57,9.56,1.11
2020,4,11,7.86,27.23,7.49,76.96,1.62,9.06,0.1
2020,4,12,7.74,27.97,7.49,70.36,1.05,9.23,0
2020,4,13,7.68,28.12,7.33,70.53,1.02,9.34,0
2020,4,14,7.66,28.14,7.45,71.6,1.21,9.41,0.01
2020,4,15,7.46,28.9,6.92,70.49,1.14,9.8,0.05
2020,4,16,7.61,28.42,7.13,77.58,1.17,9.82,0.65
2020,4,17,7.59,28.39,5.57,77.63,1.48,9.79,2.7
2020,4,18,7.62,28.53,5.21,75.1,1.49,9.84,0.81
2020,4,19,7.4,27.77,2.26,82.66,1.36,9.86,7.48
2020,4,20,7.4,28.82,5.65,78.8,0.77,9.9,5.29
2020,4,21,7.5,28.51,6.38,77.72,1.39,9.66,19.86
2020,4,22,7.67,28.51,6.48,71.74,1.35,9.53,0.16
2020,4,23,7.37,27.92,6.34,79.34,1.36,9.79,1.15
2020,4,24,7.42,28.74,6.11,80.34,1.11,9.9,2.63
2020,4,25,7.65,29.11,6.6,75.91,1.47,9.69,0.65
2020,4,26,7.46,28.97,4.73,78.6,1.46,9.89,1.39
2020,4,27,7.49,28.78,5.76,76.05,1.45,9.71,0.33
2020,4,28,7.5,28.09,6.25,75.33,1.4,9.44,0.04
2020,4,29,7.38,28.55,5.66,75.32,1.25,9.82,0.92
2020,4,30,7.42,27.24,2.54,86.13,1.47,9.83,0.82
2020,5,1,7.27,28.42,3.5,78.04,0.86,9.85,1.66
2020,5,2,7.3,28.13,4.85,77.53,1.06,9.98,1.48
2020,5,3,7.23,28.73,1.62,78.78,1.17,10.03,5.04
2020,5,4,7.24,29.61,5.59,73.51,1.31,10.04,1.3
2020,5,5,7.25,29.34,5.72,77.03,1.27,10.08,0.28
2020,5,6,7.11,29.74,5.28,74.75,1.39,10.16,0.37
2020,5,7,7.23,29.35,6.35,74.63,0.85,9.98,0.62
2020,5,8,7.16,30.38,5.52,70.4,0.89,10,1.95
2020,5,9,7.27,29.41,5.83,79.78,1.09,9.98,3.61
2020,5,10,7.25,28.89,4.83,79.86,0.77,10.01,24.7
2020,5,11,7.03,29.21,5.27,78.08,1.14,9.99,47.88
2020,5,12,7.01,29.18,3.92,78.06,1.2,10.05,22.28
2020,5,13,7.01,29.34,5.59,77.13,1.34,9.94,3.69
2020,5,14,6.98,27.36,4.95,87.88,1.96,9.93,9.73
2020,5,15,7.04,28.52,4.71,81.85,1.8,9.93,6.91
2020,5,16,7.2,28.73,5.21,81,1.98,10.01,1.91
2020,5,17,7.16,28.91,4.39,82.41,1.74,10.12,5.4
2020,5,18,7.25,28.87,5.5,82.13,1.49,9.97,4.19
2020,5,19,7.07,28.08,4.68,83.06,1.9,10.01,8.37
2020,5,20,7.26,28.78,5.43,77.36,1.53,9.96,3.81
2020,5,21,7.19,28.98,5.92,77.15,1.4,9.92,1.29
2020,5,22,7.11,28.67,5.01,76.76,1.49,10.08,2.49
2020,5,23,6.93,28.54,5.37,76.37,1.42,9.91,0.97
2020,5,24,7.2,29.97,6.3,69.35,1.25,9.82,0.4
2020,5,25,7.15,29.31,5.2,75.54,1.06,9.92,0.39
2020,5,26,7.07,28.93,6.05,75.55,1.29,9.84,1.11
2020,5,27,7.05,28.52,5.3,77.99,1.69,9.85,3.02
2020,5,28,7.1,28.25,4.8,79.36,1.31,9.86,4.69
2020,5,29,7.06,28.7,5.95,77.44,1.4,9.81,8.58
2020,5,30,7.1,28.94,5.88,74.46,1.44,9.77,1.19
2020,5,31,7.02,28.76,4.93,77.13,1.4,9.92,19.29
2020,6,1,7.1,28.58,5.09,76.6,1.6,9.89,22.78
2020,6,2,7.11,28.3,4.31,78.81,1.42,9.93,16.84
2020,6,3,7.14,29.39,6.06,74.82,1.18,9.84,34.04
2020,6,4,7.05,29.44,5.52,76.38,1.46,9.87,8.68
2020,6,5,7.1,28.99,6.11,77.86,1.64,9.8,12.44
2020,6,6,6.98,28.77,5.65,78.49,1.28,9.93,5.65
2020,6,7,6.78,29.03,4.8,74.02,1.26,9.93,9.74
2020,6,8,6.85,28.68,5.12,74.09,1.2,9.8,3.05
2020,6,9,6.87,28.25,5.31,79.95,1.99,9.7,24.11
2020,6,10,7,27.58,4.99,83.59,2.06,9.72,16.37
2020,6,11,6.84,27.93,5.34,78.83,1.79,9.65,14.23
2020,6,12,7.04,28.32,4.13,73.4,1.43,9.87,30.03
2020,6,13,6.82,28.22,5.68,78.47,1.66,9.84,6.09
2020,6,14,7.09,27.5,3.44,81.48,1.88,9.74,15.43
2020,6,15,6.98,27.71,5.38,76.63,1.43,9.83,13.87
2020,6,16,6.95,28.1,5.25,77.75,1.28,9.9,9.4
2020,6,17,6.94,28.19,5.25,79.57,1.4,9.97,2.89
2020,6,18,7.07,27.53,4.38,85.1,1.88,9.77,30.1
2020,6,19,7.09,27.94,5.27,80.51,1.48,9.78,1.9
2020,6,20,7.05,28.1,4.48,78.15,1.22,9.91,5.27
2020,6,21,7.02,28.17,5.39,77.02,1.43,9.88,1.75
2020,6,22,7.06,28.25,5.05,76.12,1.78,9.92,1.48
2020,6,23,7.03,28.9,5.32,75.48,1.46,9.87,1.6
2020,6,24,7.11,28.81,4.69,75.83,1.07,9.85,5.39
2020,6,25,7.08,28.8,4.78,72.68,1.3,9.78,8.24
2020,6,26,6.95,27.63,5.12,78.75,1.54,9.77,6.83
2020,6,27,7.04,26.78,2.4,84.26,1.3,9.84,16.07
2020,6,28,7.12,27.08,5.41,79.19,1.39,9.69,15.03
2020,6,29,7.05,27.32,5.02,74.6,1.07,9.93,2.12
2020,6,30,7.09,28.22,5.82,75.85,1.61,9.79,1.48
2020,7,1,6.98,27.85,5.32,79.88,1.79,9.84,8
2020,7,2,7.01,28.98,5.05,73.06,1.55,9.76,5.59
2020,7,3,7.03,27.27,5.04,79.48,1.81,9.73,8.63
2020,7,4,7.01,27.77,5.2,76.62,1.58,9.65,2.29
2020,7,5,7.12,28.31,5.58,74.54,1.25,9.72,1.79
2020,7,6,7.05,27.86,4.41,76.72,1.56,9.75,3.48
2020,7,7,7.17,27.93,4.84,76.34,1.32,9.79,3.29
2020,7,8,7.11,27.84,5.42,78.92,1.76,9.81,3.33
2020,7,9,7.16,27.48,5.4,80.05,1.74,9.69,1.96
2020,7,10,7.15,27.02,4.19,81.62,1.82,9.8,1.47
2020,7,11,7.1,28.31,5.64,73.28,1.25,9.82,1
2020,7,12,7.08,27.85,5.47,76.09,1.46,9.79,0.29
2020,7,13,7.09,28.16,5.84,75.85,1.73,9.74,0.35
2020,7,14,7.15,27.65,5.55,80.01,1.71,9.71,0.96
2020,7,15,6.99,27.87,4.86,77.59,1.68,9.92,2.27
2020,7,16,7.11,27.84,5.95,78.52,1.69,9.7,1.2
2020,7,17,7.14,28.86,4.73,72.33,1.15,9.83,1
2020,7,18,7.06,27.73,5.3,80.75,1.4,9.82,4.23
2020,7,19,7.14,27.99,5.57,79.6,1.44,9.81,4.05
2020,7,20,7.11,28.85,5.62,72.44,1.55,9.81,0.63
2020,7,21,7.19,28.36,5.62,73.55,1.55,9.81,6.15
2020,7,22,7.06,27.58,5.44,78.73,1.74,9.76,2.2
2020,7,23,7.24,27.79,4.14,76.53,1.43,9.76,2.15
2020,7,24,7.09,28.26,5.52,74.67,1.47,9.79,1.33
2020,7,25,7.13,28.43,5.76,74.28,1.45,9.68,4.62
2020,7,26,7.18,27.8,3.52,78.66,1.39,9.84,6.79
2020,7,27,7.05,26.8,4.87,84.55,1.82,9.9,14.71
2020,7,28,7.05,27.94,5.25,76.85,1.58,9.76,10.83
2020,7,29,7.07,27.59,5.87,79.81,2.22,9.7,12.92
2020,7,30,7.13,27.71,4.99,80.73,2.04,9.73,20.91
2020,7,31,7.22,26.91,5.04,83.46,1.75,9.7,12.33
2020,8,1,7.25,28.18,4.03,75.4,0.83,9.81,3.91
2020,8,2,7.12,27.22,4.72,82.38,1.84,9.82,7.04
2020,8,3,7.17,27.57,3.63,80.43,1.65,9.79,2.68
2020,8,4,7.03,27.56,5.06,82.97,2.02,9.78,10.46
2020,8,5,6.99,27.22,4.55,88.83,2.41,9.92,13.02
2020,8,6,7.09,27.33,4.27,86.01,2.04,9.87,15.55
2020,8,7,7.08,27.25,4.35,79.95,1.91,9.69,10.44
2020,8,8,7.2,27.78,5.51,79.67,2.03,9.75,4.94
2020,8,9,7.18,27.39,4.63,82.58,1.67,9.9,10
2020,8,10,7.16,28.37,4.97,75.43,1.47,9.83,1.58
2020,8,11,7.19,28.11,5.7,77.23,1.54,9.85,4.62
2020,8,12,7.19,27.68,4.88,78.71,1.87,10,8.52
2020,8,13,7.16,28.3,5.25,73.26,1.05,9.85,4.63
2020,8,14,7.14,28.56,5.99,74.79,1.39,9.76,1.51
2020,8,15,7.26,28.51,6.08,74.74,1.19,9.75,1.14
2020,8,16,7.19,28.23,5.45,78.19,1.49,9.86,3.06
2020,8,17,7.23,27.95,4.15,79.35,1.6,9.71,1.48
2020,8,18,7.16,28.05,5.16,78.75,1.71,9.66,7.44
2020,8,19,7.09,27.52,4.84,74.97,1.71,9.7,15.83
2020,8,20,7.19,28.62,5.72,75.09,1.42,9.76,11.73
2020,8,21,7.3,28.29,6.26,78.57,1.63,9.68,11.07
2020,8,22,7.38,28.45,3.05,73.29,1.43,9.8,9.52
2020,8,23,7.42,27.96,6.35,73.95,1.4,9.53,1.64
2020,8,24,7.41,28.7,6.22,71.25,1.24,9.6,0.31
2020,8,25,7.28,28.42,6.26,73.92,1.48,9.68,0.12
2020,8,26,7.29,28.41,5.86,78.37,1.9,9.78,0.73
2020,8,27,7.3,28.1,3.85,78.71,1.83,9.73,1.73
2020,8,28,7.28,28.83,5.74,74.03,1.64,9.87,1.4
2020,8,29,7.14,28.89,6.14,75.46,1.76,9.72,4.21
2020,8,30,7.26,28.57,5.73,74.93,1.64,9.55,6.93
2020,8,31,7.35,27.92,5.66,78.59,1.73,9.62,11.27
2020,9,1,7.37,28.25,5.85,76.78,1.57,9.83,7.03
2020,9,2,7.32,28.67,5.31,74.95,1.5,9.94,4.08
2020,9,3,7.33,28.06,6.07,78.79,1.72,9.78,3.16
2020,9,4,7.29,28.52,5.6,75.13,1.57,9.89,0.13
2020,9,5,7.41,28.88,6.05,74.98,1.63,9.74,0.23
2020,9,6,7.31,28.97,5.94,73.62,1.54,9.77,0.1
2020,9,7,7.15,28.18,4.03,78.67,1.52,9.88,0.86
2020,9,8,7.34,28.5,5.68,75.04,1.5,9.8,0.77
2020,9,9,7.35,27.77,6.06,78.79,1.71,9.84,1.07
2020,9,10,7.26,29.15,5.24,71.23,1.35,9.82,0.69
2020,9,11,7.32,28.57,5.52,76.21,1.63,9.8,0.23
2020,9,12,7.36,28.68,6.18,75.2,1.39,9.87,0.59
2020,9,13,7.39,28.82,5.01,74.05,1.3,9.94,0.8
2020,9,14,7.12,28.17,4.65,77.53,1.47,9.96,6.69
2020,9,15,7.07,27.92,5.06,79.21,2.31,9.8,11.96
2020,9,16,7.26,27.23,4.3,84.78,2.1,9.61,8.34
2020,9,17,7.27,27.7,4.35,77.14,1.37,9.81,2.53
2020,9,18,7.3,27.87,5.26,78.47,1.5,9.75,2.01
